layername,device
input,0
d1_conv1,0
d1_conv2,0
d1_conv3,0
d1_conv4,0
d1_conv5,0
d1_conv6,0
d1_conv7,0
d1_conv8,0
d2_conv1,0
d2_conv2,0
d2_conv3,0
d2_resblock,0
d2_conv4,0
d2_conv5,0
d3_conv1,0
d3_conv2,1
d3_conv3,0
d3_resblock,0
d3_conv4,0
d3_conv5,0
d4_conv1,0
d4_conv2,0
d4_conv3,0
d4_resblock,2
d4_conv4,2
d4_conv5,2
d5_conv1,2
d5_conv2,1
d5_conv3,2
d5_resblock,2
d5_conv4,2
d5_conv5,2
nk_conv1,2
nk_conv2,2
nk_conv3,2
nk_maxpl1,0
nk_maxpl2,1
nk_maxpl3,2
nk_conv4,1
nk_conv5,1
nk_conv6,1
nk_conv7,1
nk_upspl1,1
nk_conv8,2
nk_conv9,1
nk_conv10,1
nk_conv11,1
nk_conv12,1
nk_conv13,1
nk_conv14,1
nk_upspl2,1
nk_conv15,0
nk_conv16,1
nk_conv17,1
nk_conv18,1
nk_conv19,1
nk_conv20,1
hd_conv1,0
hd_conv3,1
hd_conv2,0
hd_conv4,1
hd_conv5,1
hd_conv6,1
hd_conv7,1
hd_conv8,1
hd_conv9,2
hd_conv11,1
hd_conv10,2
hd_conv12,1
hd_conv13,1
hd_conv14,1
hd_conv15,1
hd_conv16,1
hd_conv17,1
hd_conv18,1
decode1,0
decode2,2
decode3,1
non_max_suppression,1
wrapping_up,1
output,1
