layer_name,time,cpu_mem,cuda_mem,size,MACs
input,0,0,0,4.6875,0
stem,0.0293,0,398.93,12.5,0
dark2,0.1053,0,1295.48,6.25,0
dark3,0.1563,0,1424.3,3.125,0
dark4,0.1769,0,867.64,1.5625,0
dark5,0.1329,0,396.76,0.7812,0
lateral_conv0,0.0056,0,11.005,0.3906,0
upsample_P5,0.0011,0,4.28,1.5625,0
C3_p4,0.0637,0,361.87,1.5625,0
reduce_conv1,0.0052,0,27.41,0.7812,0
upsample_P4,0.0013,0,7.81,3.125,0
C3_p3,0.0605,0,568.81,3.125,0
bu_conv2,0.0199,0,30.06,0.7812,0
C3_n3,0.0569,0,342.67,1.5625,0
bu_conv1,0.0189,0,11,0.3906,0
C3_n4,0.0757,0,305.88,0.7812,0
stems_0,0.0084,0,86.34,3.125,0
cls_convs_0,0.0509,0,195.15,3.125,0
cls_preds_0,0.0040,0,9.459,0.4883,0
reg_convs_0,0.0509,0,195.15,3.125,0
reg_preds_0,0.0020,0,0.444,0.0977,0
obj_preds_0,0.0021,0,0.1015,0.0244,0
partial_out_0,0.0009,0,7.26,0.6104,0
stems_1,0.0052,0,27.4315,0.7812,0
cls_convs_1,0.0171,0,72.32,0.7812,0
cls_preds_1,0.0018,0,2.1105,0.1221,0
reg_convs_1,0.0171,0,67.23,0.7812,0
reg_preds_1,0.0014,0,0.1015,0.0244,0
obj_preds_1,0.0015,0,0.0275,0.0061,0
partial_out_1,0.0008,0,1.5945,0.1526,0
stems_2,0.0037,0,5.505,0.1953,0
cls_convs_2,0.0081,0,30.51,0.1953,0
cls_preds_2,0.0015,0,0.5015,0.0305,0
reg_convs_2,0.0080,0,30.52,0.1953,0
reg_preds_2,0.0013,0,0.0275,0.0061,0
obj_preds_2,0.0011,0,0.0095,0.0015,0
partial_out_2,0.0007,0,0.399,0.0381,0
output_decode,0,0,0,0,0
output,0,0,0,0,0
